symbol	Ratio L/H normalized S1.1	Ratio L/H normalized S1.2	Ratio L/H normalized S1.3	Ratio L/H normalized S1.4	Ratio L/H normalized S1.W	Ratio L/H normalized S1.X	Ratio L/H normalized S1.Y	Ratio L/H normalized S1.Z	Ratio L/H normalized S2.1	Ratio L/H normalized S2.2	Ratio L/H normalized S2.3	Ratio L/H normalized S2.4	Ratio L/H normalized S2.W	Ratio L/H normalized S2.X	Ratio L/H normalized S2.Y	Ratio L/H normalized S2.Z	Ratio L/H normalized S3.1	Ratio L/H normalized S3.2	Ratio L/H normalized S3.3	Ratio L/H normalized S3.4	Ratio L/H normalized S3.W	Ratio L/H normalized S3.X	Ratio L/H normalized S3.Y	Ratio L/H normalized S3.Z	Ratio L/H normalized S4.1	Ratio L/H normalized S4.2	Ratio L/H normalized S4.3	Ratio L/H normalized S4.4	Ratio L/H normalized S4.W	Ratio L/H normalized S4.X	Ratio L/H normalized S4.Y	Ratio L/H normalized S4.Z	Ratio L/H normalized S8.1	Ratio L/H normalized S8.2	Ratio L/H normalized S8.3	Ratio L/H normalized S8.4	Ratio L/H normalized S8.W	Ratio L/H normalized S8.X	Ratio L/H normalized S8.Y	Ratio L/H normalized S8.Z	Ratio L/H normalized S9.1	Ratio L/H normalized S9.2	Ratio L/H normalized S9.3	Ratio L/H normalized S9.4	Ratio L/H normalized S9.W	Ratio L/H normalized S9.X	Ratio L/H normalized S9.Y	Ratio L/H normalized S9.Z
FHOD1																		0.897746656	1.04237244		1.021106267	0.802697062	0.709773582							0.96749226					1.030248084			1.162898874	0.796368559	1.136557368							1.154667744	0.682221313
FILIP1																									0.55869043		0.556328234		0.654835964	1.031810725	0.810766986	0.877731941																
FILIP1L																	0.989217529	1.47747588	0.879352796	0.658631364	0.997904401	1.098985636		0.896700143			1.19450052																					
FIP1L1	1.082180811	1.287465238	1.081385038	1.255303658	1.257956575	0.969649956	1.074379277	1.110851912	1.001452106	1.047460432	1.04534716	1.01829883	1.027728104	1.036720645	0.733460466	0.805801773	2.317497103	2.39584082	1.480494485	1.099456868	1.183740145	1.240017856	0.444069452	0.550691117	0.91937115	0.992555831	0.821490183	0.683667191	1.003895113	1.024873684	0.881911985	0.841821702	1.021617425	1.023709103	0.810307106	0.872143729	0.689322396	0.707764173	0.808472795	0.700280112	0.9765625	1.003995904	0.936504963	0.990883868	0.937822376	0.980488283	1.003331059	1.090714745
FIS1																	1.275331267	1.075569514		1.183347928	1.212650369	1.249203633	1.591267126	1.70111423	1.707650273	1.084481076		1.872729316	0.401042711	0.82345191	1.463378942	1.5712894																
FKBP10	1.223660703	1.139718034	1.307531381	1.195371521	1.173103092	1.11958262	1.300626902	1.239433827		7.296074712	16.23956608	17.36382421	6.877579092	9.471490813	19.990005	19.30427397	1.091476659	1.274031418	1.179606955	0.943841435	0.931879601	0.944019636	0.597657184	0.67999456									1.746907973	2.477209671	2.297635733	2.2500225	3.127345509	3.784438389	3.227263926	3.235512991	1.143615196	2.030704248	1.979061529	1.56240235	2.08038612	2.047124813	2.761134274	2.270508367
FKBP11	0.859771301	0.652784124		0.975704947	1.075696783		0.956388676	0.821962847																																								
FKBP15			1.697302986				0.924556213				1.339602674	1.235925894		0.937207123	1.597673787	1.543829314	0.893096365	0.925326177	0.819000819	0.62000124	0.695168578	0.848680302	0.48000768	0.434914974	1.64628023	1.70718383		1.981453594	2.041482933	2.313101406	1.184174689	1.250093757	1.161467165	0.896780558	1.198595246	1.069187097	1.408054069	1.314112251	1.405580153	1.279656028	0.720409192	0.736756797	0.721240534	0.527370531		0.701803635	0.910249408	0.679071031
"FKBP1A;FKBP12-Exip2;FKBP1C"	0.963298333	1.054474134	0.727061219	0.92945441	1.048086195	0.912825194	0.834585211	0.793210121	1.153349326	0.983090838	1.443959916	1.553084426	1.268938913	1.060884141	2.050945486	2.047250543	1.215908953	1.844065796	1.555161581	1.173461006	1.122334456	1.12707805	0.58910162	0.633834062	1.290255987	1.240340846	1.318687115	1.091965319	0.845237089	1.144243312	1.224499792	1.272669424	0.678012069	0.773215805	0.592276712	0.667334001	0.747272456	0.94126506	0.692952671	0.850991405	0.880049283	0.950028501	0.948406677	1.046025105	0.991669972	0.955109838	0.928936368	0.973899494
FKBP2												0.829944394					0.894214433								0.881678716	0.835840856	1.329893343	2.056343821	0.664407681	0.922679461	1.528748108										0.418532625					1.180428496		1.072570092
FKBP3	1.185002607	1.116233382	1.105644314	1.04844882	1.029113624	1.222045705	0.764876855	1.199601732	0.236882625	0.24120797	0.334772857	0.287290278	0.275368305	0.257102455	0.389574974	0.399313181	1.059232268	1.221941176	1.113102327	0.8399832	0.937558597	0.811556565	0.599916012	0.567859171	0.873820343	0.846811754	0.793713787	0.816326531	1.185143047	1.350420656	1.174894847	1.039673958	1.105509861	0.917347032	0.77381413	0.959877136	0.810635538	0.823723229	0.745323098	0.894774517	0.77089115	0.842034355	0.884016973	0.913325418	0.766812361	0.910995718	0.832085206	0.85521252
FKBP4	1.247707338	1.142504599	1.514554872	1.090560112	1.004550614	1.06455459	1.449569478	1.231405773	2.759229623	2.172921058	4.66309163	5.708088361	1.591849729	2.16164804	29.04106406	19.07232225	1.045412729	1.205138711	1.097164926	1.165053068	1.067452312	1.047899485	0.89134504	0.935716291	1.003703667	0.956937799	0.968710646	1.267684195	0.411709004	0.706763729	0.768285187	0.838574423	0.611284308	1.28922466	2.046287012	1.38692408	4.605111674	6.10724319	4.069672798	5.53709856	0.931619154	1.869753006	2.753152359	1.174577446	1.846994939	2.300119606	3.293373732	1.971259043
FKBP5		1.354499648		1.780975618	1.30701869			1.570869791																			0.760282825						0.571493885														1.546503356	
FKBP7																			0.854262771															0.552150627														
FKBP8																	0.737517516	0.672043011		1.094451133	0.939672994	0.945000945		1.005287814		0.747272456	1.114603536	1.106231401																				
FKBP9						1.669198284											0.654707346	0.793147208	0.847026935	0.789951813	0.993443274	1.00825763	0.903260771	0.933096949	1.172827923	1.206811243	1.486767767		0.517250297	0.813074234		1.21135769												1.089051763			2.903263268	1.605007624
FLII																	1.034062002	0.89198109	1.017635625	1.115001227	1.156804905	1.093314383	1.61587435	1.531628121	0.962371283	0.965064659	1.324819162	1.272021879		0.59672992	0.762427569	1.059299591						4.010748807	4.730592743									
FLJ22184	0.986290561	1.943672375	1.442814065	2.386122313		1.638296827														0.867077083					1.140758148							1.161022164	0.895575855	0.82487833	0.755572346	0.878811846	0.966837475		0.853242321		1.228335237	0.860437102	1.351734952	0.910498042	1.236063385	1.237149114	1.671039219	1.009356737
FLNA	1.303390118	1.457662201	1.761804087	1.292707835	1.27195716	1.503601125	1.646686866	1.357865436	1.421928989	2.166518621	3.965264285	4.685596476	1.468817015	1.46996134	15.311122	12.18234535	0.921234454	0.706314451	0.913909706	0.977517107	1.067497892	1.176705929	1.527253845	1.404139403	1.192022982	1.024737155	1.449884734	1.5417823	0.456787868	0.777423618	1.32315387	1.306864962	0.496919102	0.845165652	1.201547593	0.836750063	2.115954295	2.764951475	2.134836258	2.21371173	0.806256551	1.054963604	1.635376464	0.870397772	1.280327764	1.31589336	1.460472317	0.988239945
FLNB	1.421544935	0.809126952	1.893186422	1.338813543	1.303695978	1.417836382	1.667305801	1.591241805	3.231644261	3.154673649	6.714563889	7.351860021	2.848353652	2.120620918	24.86325211	23.01231159	0.881212548	0.706563979	0.81109579	0.894134478	1.044408238	1.175184798	1.188792068	1.154494447	1.198968887	1.084716347	1.590406667	1.504596542	0.414010102	0.685213101	1.05224391	1.188227046	0.297725378	0.538126244	0.851643672	0.583294447	2.305422353	3.521870818	2.551345835	3.139421719	0.931098696	1.51183007	2.286864252	0.875810124	1.319017596	1.741765802	1.988071571	1.56171914
FLNB																					1.043754175		1.313870531	1.183277916																								
FLNC			1.097369605														1.151383964	0.923361034	1.105742119	1.210727042	1.2999844	1.447722732	1.400383705	1.338652245				6.237914042													1.124138629	1.540570936						
FLOT1								0.907688118															0.861103935				2.435994251	2.633727515		3.916653611			1.545977367	1.182732111	1.461432789	1.393009876	1.953964594	1.350274781	2.138945927	1.786448005	0.866701335	0.93405567	1.10393553	0.952199581	1.13566675	1.54820331	1.48231597	1.654478674
FLOT2		1.785236097	1.405678943	1.880123336		1.066757697	0.875273523	0.699986									1.403784603	1.421787471	1.099795438	1.34287671	0.62574307	0.993344591	1.414767342	1.080228576	2.094021568	2.113137375	2.160013824	1.678894616	3.047108294	2.123773521	2.220544478	3.348064819	1.430840333	1.296293896	1.870872388		1.907377737	1.773458421	2.315136362	2.443374789	0.749344324	0.743549706	0.795165394	0.840265524	0.964506173	0.952653139	1.035303862	1.057619088
FLYWCH2	1.334133814	1.412788562	0.95712098	0.961446015	1.635724217	1.428632656	0.970026191	1.105094486	0.620886626	0.667735043	0.597014925	0.70651406	0.651932981	0.661813369	0.411353353	0.375770329	1.203760548	1.683303314	0.991276764	1.530994994	0.565514901	0.909173561	0.240615977	0.52778804	0.724847782	0.675265042	0.631991405	0.574184658	0.928677563	1.106268115	1.14358904	1.094534987	1.55833632	1.480187688	1.512378821	1.689959948	1.266127296	1.184834123	1.479530693	1.405619667	1.209833527	1.042470237	1.010785077	1.186169266	0.99970009	1.041091897	1.060141847	1.095122325
FMR1									0.871156024			0.965250965			2.106460514	1.750945511	0.928677563												0.583192395	1.179773955	1.931172994																	
FN1	1.430533303		1.443605549				0.625234463			2.280449705	1.291138914	2.60552371	0.967866822	0.95129376			1.420676526	1.57898061	1.680983039	1.42584196	1.329009622	1.538272213	0.926097425	1.015537727		1.170110692																						
FNBP1											1.604904588		1.129165208		1.974372643	2.218180205																																
FNBP1L																2.89017341														1.040647699	1.306506402	1.051546825			0.595096406						0.830151087		0.753465943			1.26288139		1.411233418
FNBP4	1.503691563	1.349199924	0.996710854	1.233410627	1.218353274	1.292357001	1.190164481	1.324801611	1.9251131	1.510368681	1.234110823	2.425065477	2.995088056	2.956917709	1.261018146	1.57930479	1.852091938		1.4120305	0.789577576	0.832085206				0.657418973	0.732976618			0.626017278	0.928936368	0.853533629	0.6592827	0.531660375	0.612707555	0.692760651	0.667779633	0.741729714	0.903505602	0.677782296	0.645827951	0.954198473	0.753409177	0.801731741	0.883314195	0.992654358	0.967773154	1.074783431	0.928763815
FNTA																			0.953288847												0.433801839																	
FOSB																																	1.049218857	1.004147128			1.235071078	1.156403585	1.28776367	2.46852629								
FOSL1																	2.214348981	3.021604472															1.823519758	0.971628449	1.496333982	1.485839945	1.111790539	1.067440917	1.057071278	0.903097625								
FOSL2									1.040149782	0.832986256	0.957212597	0.824266403	0.838433806	0.914745701											1.00661345					1.159299319		0.629445459																
FOXK1																							1.352575981																1.920159757									
FREM2	1.761338617		1.368700556			1.855115481	2.436765924																																									
FRMD4A																						0.844808651	0.714694111										0.83984211	0.924983813	0.810175808	1.005429318	1.369581593	2.403210689	1.623113131	3.315320094								
FRS2									1.302524292	1.376102602	1.790157713	1.634708123		1.475644488	1.334240617																											1.127904354				0.879894413		
FSCN1			1.738797795	1.625884074		2.279098389											0.58685446	0.751653638	0.850123268	0.944376239	1.131682586	0.977326036	1.368681823	1.407439726	1.044026602	0.822097994	1.187239549	1.37659513	0.297787439	0.639959043	0.912575287	1.236078664	0.53873505	0.959692898	1.671765552	1.038022774	4.688892015	6.93962526	2.941436009	4.164757819								
FSTL1	1.122636849	1.123987007	1.233501912	1.307668166	1.106904873	1.135099548	1.399423438	1.378302758	1.989099733	2.012801417	1.149755677	1.172525385	2.116446909	1.947040498	0.340043526	0.315527088	1.122246288	1.503352476	0.805931657	0.587820362	0.951112802	1.063049464	0.303517771	0.36174215	2.152620816	2.496130997	1.450810278	1.148633127	1.592077821	1.705204283	0.88944232	0.77621672																
FTH1	0.45287804				2.055794256	1.291238944					0.903097625	1.083881597	1.020106295				1.33292457	1.341075811			0.690941754	0.553648544	0.416996789	0.457917392	0.482811896	0.459854686	0.735402265	0.721813195			0.559910414														0.92208391			1.401325654
FTL	0.762660159							3.382721061			1.684097071					3.315210184																0.741729714	0.237028609	0.245573537	0.323855172	0.240367281	0.393391031	0.474158369	0.524851729	0.565067526								3.46945148
FTO																				2.058587397		1.323556661		1.403626972																								
FTSJ3	0.769230769	0.815062352	0.695313586	0.880049283	0.970968055	0.821962847	0.69051236	0.797893561	0.69827526	0.767695378	1.02438025	0.935453695	0.643624895	0.731796561	1.552650374	1.992905257	0.991866693	1.216841081	1.070709666	0.746324353	0.950751093	0.951203272	0.624765713	0.569865512	0.875580072	0.962741889	0.863781636	0.764117063	0.932574839	0.993541977	1.141943588	1.123078133	1.184202736	1.285330523	1.29642834	1.535013662	1.377543289	1.455921963	1.442897338	1.289656951	1.159514395	1.093051472	1.247863035	0.971062342	0.880669309	0.966930961	1.020366516	0.764584448
FUBP1	1.03646276	1.167337886	1.091679221	0.996611521	0.979911808	0.907441016	0.713826826	0.806321561	0.595025586	0.581699727	0.609013398	0.623947089	0.53390283	0.515676568	0.518430193	0.526260394	1.388503194	1.591115213	1.208839031	1.058817301	0.986777186	1.051281512	0.585926056	0.643915003	1.346239281	1.246929436	1.051447317	1.100146319	1.138485359	1.226587511	1.024180911	0.961723408	1.059714937	0.942862531	0.865576041	0.905223138	0.702691308	0.749568998	0.679117148	0.659587098	0.90065748	0.900171032	0.812611734	0.855431993	0.716691751	0.687616035	0.606354596	0.629881582
FUBP3	0.645994832				0.759416768	0.861252261				1.20176419	1.499272853				6.246486351					0.962834585				1.563648304									0.541682466	0.574580556	0.973425484	0.715614713	2.395266953	2.226526841	1.685544768	1.960207782		0.668896321					1.229543471	0.557817817
FUCA1																	1.097899718			1.435770794	0.843525938	0.847457627	1.034950271	1.204616089							0.913993236	1.099855919												0.832362244				
FUS	1.070812854	1.034971694	1.097008458	1.160617913	1.130799588	1.003945506	1.029187765	1.398503601	0.803212851	0.926354794	1.075118532	0.882768362	0.87092841	0.817193757	0.990982063	0.867528412	1.409423405	1.775536656	1.281624074	0.958405214	1.042122595	1.066063985	0.467355237	0.539141686	1.424298533	1.612903226	1.274908525	1.080894116	1.342353952	1.431434297	1.164551066	1.094918483	1.453657402	1.315080023	1.21278273	1.416189883	1.073030453	1.041851161	1.001983928	0.987556785	1.001191418	1.026083031	0.954653938	0.953743443	1.011551923	1.013458732	1.023751024	0.933706816
FXN	1.173956939	0.97059109	1.336612489	1.316135825	1.298195508	0.978186442	1.055553796	0.893974611			1.406806128	1.676727029						1.932180466	0.793273045	0.947777462	1.108770374	0.62270378		0.43919364	0.595699053								0.71761751	0.624297665	0.563475517	0.676361177	0.634678853	0.583941606	0.681988679	0.570092925	0.911992704	0.833472245	0.814332248	0.906864968	0.93101201	1.005955255	1.000110012	1.228410682
FXR1	0.989217529	0.952925481	0.76405868						0.731261426	0.804893754		0.982800983	0.63848806			1.16471383	0.847744998	0.916002565	0.751653638	0.637592451	0.748671109	1.088790898	0.537750054	0.24712104							1.046890213				1.142426285	1.239003841	1.524855139	1.99588847	1.4277148	1.42582163	1.043765069							0.819134993
G3BP1	1.17380536	1.236445467	1.116619769	1.243502698	1.047800666	0.987069391	1.033752003	1.217359547	0.648802959	0.78814628	0.760803408	0.889284126	0.46006625	0.463134494	2.888587192	1.807991322	0.821490183	0.81879964	0.760745531	0.705367849	0.816259897	0.796178344	0.682640453	0.80762397	1.145252356	1.1583593	0.937031484	1.018983666	1.100570095	1.179523473	1.286305986	0.972857282	1.482821513	1.590558445	1.46767447	1.268971118	2.310429278	2.563642423	1.987715916	2.098635887	0.896619744	0.947777462	0.901794571	0.793398921	0.733406674	0.661857171	0.819336338	0.672494956
G3BP2		1.455858374		1.388541753	1.339423244	1.18023345	0.754773945	0.913575735	0.250294096	0.326711971	0.413120714	0.324222676		0.497462939	0.928418903	1.013880017	0.806321561	0.809061489	0.647794261	0.633552965	0.664451827	0.789515238	0.742831674	0.630556782		1.469918126		1.528374268	1.418681194	2.474267617	1.881007468	1.461069795	2.268911376	2.432084053		1.991516141	2.322880372	2.629710469	1.582253445	2.48151273	0.940822279	1.225234939	1.303237241	0.950209046	0.830840811	0.742390497	0.939143501	0.777121542
G6PD	1.112149117	0.956571647		1.112854583	0.942329438	1.047888505	1.620666742	1.368176221	1.551445948	2.475676479	8.200754469	4.735296903	1.49772346	2.153177013	62.41028522	23.02555837	0.593753711	0.609681746	0.927127758	1.046298718	0.841821702	0.761614623	0.996115151	1.094654801	0.712809181	0.560538117	0.855944535	0.93300989	0.258692053	0.518618401	0.857706493	0.990982063	0.347258395		1.040290449	1.189711376					1.034243813	2.481081752	8.522243054	1.501952538	2.129517238	3.759963904	8.508465924	2.786291446
GAA		1.229951786	1.407578402	1.249593882	1.436781609	1.503262079	3.187962255	1.215376949												2.045826514	0.911992704		1.179732201	0.792079208			1.87024257	1.226016061			1.137462322	1.310736241	0.694348007	0.603573153	0.951474786	0.952199581	0.698714366	2.801355856	2.028438711									
GAB1									0.839137367	1.276682668	1.545905669	1.380624318	0.796812749	1.411273251																																		
GABPB1																												1.018900606									2.155311766			1.021732245								2.060199015
GADD45GIP1	1.295252898	1.9124847		1.385214223	1.715295288	1.457704698	1.431065571	1.088755335	0.865725911	0.892697733	1.090774232	0.980680592	0.92140422	0.836610056	1.36909407	1.417896692	1.278919569	1.43307538	1.061582395	0.851208716		0.952108921	0.88999644	0.789141414	1.10799641		1.343652585	1.113226241	1.217507762				0.788892395	0.752615338	0.977708252	0.90966979	1.233349778	1.245221463	1.028870095	1.034768212							1.660936436	
GAK									0.927902014	0.901063255	1.397487318	1.093362198		0.770712909		1.484736905																1.080905799							1.65831979		0.944911651	0.878580214	0.853096741	0.856017805	0.89637863	0.825218683	0.840406757	0.84623847
GALE																				1.197561764	0.920047842		0.884564352	1.111568089																								
GALK1																					0.830495806	0.927299703	1.095818357	1.428979708																								
GANAB	1.198494691	1.224919768	1.901032261	1.387616907	1.353344792	2.419784155	2.325473234	1.599539333								2.680821404	0.847816872	0.821018062	1.017449255	1.220673323	0.933706816	0.984445757	1.191454886	1.166997316	0.899280576	0.757460991	1.052620499	1.200321686	0.336496399	0.632791242	0.987166831	1.137488199	0.280316197	0.680457267	0.872295883	0.728862974	3.229139757	1.531581204	3.50262697	3.961965135		1.785267969	3.405066739	0.858295425	1.952400476	3.413551801	5.089835598	2.427361216
GAP43																																	1.452580509	1.168920735	0.99970009	1.196630289	1.152352528	0.978952521	1.073157121	1.166439211								
GAPDH	1.227852609	1.096924224	1.570228468	1.136531533	0.977803853	1.108831846	1.616266102	1.383451157	1.616370601	2.596525848	5.983008257	5.763356579	1.563159458	1.531182532	17.12270128	12.34720336	0.584795322	0.757690559	0.872067672	0.92936803	0.937031484	0.857265324	0.948496633	0.933706816	0.883782589	0.637186186	0.864378944	0.916086479	0.395882819	0.607681089	0.745156483	1.070950469	0.492222879	1.235635735	2.193511593	1.216485816	3.868471954	5.519068381	3.452561801	4.9990002	0.638936809	1.431106532	3.433712186	0.739316871	1.11556096	1.883558419	3.078533387	1.40044254
GAPVD1									0.97703957	0.865351333		0.965344145	0.784006272	0.855285665							1.488715536													1.038152089		1.001963849				1.59225527								
GARS	1.051038426	1.233730183	1.353106733	1.094499048	1.181083762	1.126265641	1.646090535	1.317679303	1.706572009		5.676335358	5.007511267	2.621713027	2.578715284	55.46927002		0.75889808	0.687049124	0.879971841	0.948496633	1.158990288	1.138485359	1.082251082	1.198063929	0.620963736	0.605950433	0.781494217	0.859254167	0.373343289	0.587578589	0.771783592	1.118092981	0.428118846	0.730673681	1.330548053	0.953652489	4.632203076	5.557099194	3.474635163	4.579593332		1.994574757	1.722860638		1.364964101		2.480712461	0.979911808
GART	1.51947973	1.257576901	2.093232579	1.293995859		1.136363636	1.58383224	1.119833369									0.780274657	0.804375804	0.866926745	0.875656743	1	0.987556785	0.947867299	0.966650556	0.802954874	0.717669011	0.886682036	0.902934537	0.322092312	0.606501698	0.703135986	0.826309701	0.331796012	1.11958262	1.891789633	1.131567334	3.641395383	5.688605723	3.536192935	4.543802254	0.872600349	2.244920867	4.44701383	1.570055894	1.528094008	2.746498215	3.986605007	
GATA6																																									1.48150343	0.923020122	1.225580312	1.58712524	1.240540876	1.391633499	1.847779892	1.983025303
GATAD2A																														1.168688498	1.205938039	1.05324135		1.527370479	2.446004452						1.239172728	1.05627852					0.920725532	1.121428251
GATAD2B	1.325697317	1.234918557	1.160469758	0.990883868	0.74649149	0.81685999	0.953288847	0.877963126	0.881523272			0.791139241		0.634678853	1.242637374						1.198595246						0.548215558	0.771307366	0.855066268	0.905551028	0.865126741	0.81960495	1.116482633	1.164388347	1.136208699	1.37082071	1.148422068	1.721081528	1.322156702	1.395537072	0.625938908	0.894774517	0.800320128	0.831669993	0.957487553	0.928591327	0.719579765	0.811622433
GATC	2.068594597	1.291655903	1.259556888	1.356631213			2.113896757	1.664918502	2.160060482	1.998361344	2.095206168	1.677880501	1.731421844	1.703258333	1.780151313	1.705233361	2.13798559	2.446363481	1.319504922	0.844309355	0.907194049	0.916758343		0.401268007	1.264894128	1.318513244	1.071202854	0.830633774	0.944643869	1.445400014	1.171865845	0.953561552	1.609243495	1.587074862	1.354297864	1.685147113	1.25906527	1.247738474	1.261877421	1.229603945	1.365430042	1.331948107	1.377979881	1.449065353	1.018838321	1.083341458	1.203412879	1.288693008
GBA																42.39264064	1.199961601	0.878734622	1.352722354	0.944911651		0.860881543	1.095362236	1.118630796	0.948316738	0.812017864	1.189060642	1.26881011																				
GBE1																		0.725584095	1.025630506	1.194514788	1.02960103	0.75001875	1.142687372	1.192947296		0.869565217	1.473643879			0.895415473	1.027390223	1.710425041																
GBP1																								0.933532487				1.816002615				1.635536947																
GBP2																							2.754972726		0.993048659		2.260091308	2.338962436		0.647374895	1.705000767	1.988981045																
GCA	0.548065329	0.566027056	0.607127679	0.553893874	0.634236063	0.675219446	0.7583801	0.673174015									0.630517024		0.736051818			0.944554642																										
GCC2	0.930752048	1.098599286		1.00020004	1.032993823	0.94055681	1.431167976	0.944019636					0.646872372				1.368794229		1.479049267		0.913659205	1.245516142	0.936592676	1.02398165		0.659108885		0.709119274	0.813140348	1.472949286	1.427694416	0.971817298		1.531557747		0.733460466		1.905669366	1.674677206		0.75295535	0.896057348	0.889521437	0.931619154	0.823316318	0.925154963	1.391807819	1.093218764
GCFC2	2.332307118							1.623007758				1.355380862				1.394544542										1.75620379		1.144452837		1.633319722		1.310083714	1.582979801		1.357699514	1.491557783	1.569710859	1.12582185	1.37657618	1.030534744								
GCN1L1															1.421585352		0.884955752	0.780944943	0.995024876	1.183768171	1.241372461	1.14173498	1.986649714	1.685033532				1.222000904				1.806097385	0.64499484					2.224941595		1.64845128			1.573217545	0.549661958				0.996015936
"GCOM1;POLR2M;GCOM2"			1.112396547	1.183193914										0.549329818																			0.91759956	0.75999392	0.677966102	0.832292967	0.86281277	0.910829766	0.832362244	0.827677537	0.975324295		0.763242253		0.678104021			0.77579519
GCSH	1.307462999	1.30539782	1.129165208	1.215096357	1.419426268	1.437835195	1.182704135	1.198695819	2.758772898	2.313475998	2.424242424	2.255910485	2.269374787	2.532350781	2.383335717	2.396874476	1.660688189	2.553039393	1.446508129	1.073837034	1.139419352	1.167092655	0.352671487	0.467704972	1.012401924	1.087902524	0.832292967	0.814863103	1.080777295	1.21700398	0.967679505	0.97924011	1.084434034	1.001151324	0.889046942	0.964971533	0.861474845	0.767459708	0.85660442	0.823248539	1.137824707	1.059019136	1.005318133	1.060760353	1.169973793	1.214933968	1.15255175	1.273528438
GDF15																	0.997804829	0.90628965	0.879198171	0.810832725	0.972857282	1.162371703	0.954836246	0.854700855	0.409416581	0.455913194	0.588962836	0.416545174	0.775133711	0.831877548	0.944911651	0.936855912									11.12681228	12.85049731		15.2371665	5.675368899			
GDI1	0.80755875	0.580956254		1.134532913		1.693881699	1.821195068	1.109471559									1.041764332	1.136764087		1.256944619	1.075569514	1.017532078	0.956297217	1.094906495		0.547975232		1.145396651			0.949577438								1.999960001	2.053177292								
GDI2	1.646605523	1.319000198	2.043986591	2.037738925	1.461112491	2.049810393	2.715989027	1.473144574			5.631899076	23.63563308		3.468248188	3.325241911	111.4131646	0.820613819	0.795734861	0.95757924	1.044844736	1.003683519	0.997804829	1.089004323	1.192833457	1.072892303	1.001642694	1.344917557	1.445608963	0.379665135	0.749344324	1.053086069	1.31606654	0.475692132	1.222897533	2.187035255	1.178869935	4.605535854	6.695681286	4.032745897	5.811250581	0.984930562	1.837627256	4.410337832	1.048294948	1.805347439	4.114041223	4.99950005	2.255859595
GEMIN6		0.931966449	1.016322133	1.100630661	2.052882247		1.043721493	1.005661876																						0.495859573					0.681523887				1.080637144									
GET4																9.350163628								0.877577885								1.870837387																
GFM1	1.322488924	2.297846917	2.187752959	1.534636751	1.368850439		2.58271133	1.678979181									0.973520249	0.998901209	0.997406742	1.002014048	0.940114694	0.962463908	1.115548515	1.062552464	0.743992262	0.56557887	0.879352796	0.943663301	0.345925003	0.542269942	0.752502069	0.89047195																
GFPT1		1.123683885	1.916443082	1.812513594			1.00990719	1.677711601					7.363228039				0.905469033	1.09981963	1.124644331	1.165963202	1.4000112	1.279214051	1.608751609	1.572351767	1.05257618	0.807884957	1.302982527	1.182858022	0.352970245	0.756773119	0.982318271	1.107579164	0.337108954			1.282692628	4.874006921	4.769172072	3.891807745	6.283775292					1.32920394	2.922523892		1.759974656
GFPT2																				1.06788548		1.08371715																										
GGCT		0.924214418			1.032983152				2.003285388			3.564808213		1.852126241								0.952834683	0.677736361		1.29033923	1.158439813		0.797702616									2.456881726										1.896345742	1.422050312
GGH																			1.186492964	1.222404225	1.161710037	1.286454916	1.328356425	1.509001192								1.27585195																
GID8	0.866851595	0.885112409	1.083001213	1.087926195		0.836750063		1.1999904														1.327034344			0.954653938	1.022014186	0.91382619	0.847601288	0.381257387	0.532765051	0.618850176	0.491303921	0.427880707	0.473866275	0.773395205	0.692808646	1.096491228	1.209511599	1.395576024	1.436327598	0.498355427	0.772499034	0.589240469	0.613911228	0.835352101	0.900495272	1.190249476	0.965623793
GIGYF2	0.77381413	0.650195059	0.491376345	0.603427468	0.705965408	0.668091929	0.492780762	0.784559862	0.787525595	0.565259171	0.875120329	0.899847026	0.750807118	0.553036169		1.003200209	1.02125226	1.467954552	1.196988377	0.790701352	0.961538462	1.08153708	0.808996036	0.589205751	1.161197427	1.295370346	1.293025421	0.81559416	1.15928588				0.950028501	0.75443229	0.96255655	1.230526912	1.215111122	1.488826358	1.15184814	1.117805524	0.779180302	0.923872875	0.871535646	0.788208402	0.793273045	0.590946697	0.849473327	0.922509225
GINS3	1.057272449	1.084810484	0.827883103	0.925240563	0.783637646	0.858000858	0.904568069	0.657116572									1.311733456				1.255760803	1.424237677	1.30977485	1.271568989									1.116482633	1.129790311	1.099021871	1.404119687	1.161615575	1.758922133	1.150218542	1.166289566	0.603209072	0.660545611	0.699349605	0.94055681	0.802697062	0.918189331	0.870852565	1.075731497
GINS4	0.453103761			0.603063563														1.263391955			1.3271224	1.152007373						1.228380503						1.710717646							0.290706125	0.65282674	0.506175339	0.613722843	0.807754443	0.735402265	0.932314003	
GIPC1																6.519329813		0.68544794	0.893814802		0.898714838	0.897907875		1.965601966	0.819403474	0.889521437	1.185339718	0.860511144	0.933445347	1.038367686	0.794281176	1.003451874											2.311924909				1.2805409	1.704332413
GLB1				1.007445019			1.186183336	1.036366086		1.082684625		2.073570273				7.698229407	0.989217529	1.264174557	1.323258922	1.367128756	0.944108761	0.952925481	1.116146171	1.167419652	0.733837235	0.648929267	0.735131956	0.715205264	0.639672488	0.8645284	1.116158628	1.010233667		0.520156047	0.648340249	0.657635144	1.070824321	1.30538078	1.208546843		0.692089418	1.07425232	0.837380673	0.960984048	1.15593573	1.084551646	1.60598712	1.389622301
